OBJECTID,ZONE_,DISTRICT,MAPNO,ARTICLE,SUBDISTRIC,Unique_Code,FAR,Shape_STArea__,Shape_STLength__,Zone_Desc
62830,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62831,MFR,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62832,3F-5000,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 3F-5000,0.8,0,0,Three-Family Residential
62833,MFR/LS,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
62834,3F-7000,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 3F-7000,0.8,0,0,Three-Family Residential
62835,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62836,OS-P,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
62837,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62838,I-2-D-65,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Industrial,Harborpark: Dorchester Bay/Neponset River Waterfront I-2-D-65,2,0,0,General Industrial
62839,M-1-55,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Industrial,Harborpark: Dorchester Bay/Neponset River Waterfront M-1-55,1,0,0,Restricted Manufacturing
62840,B-1-55,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Business,Harborpark: Dorchester Bay/Neponset River Waterfront B-1-55,1,0,0,General Business
62841,MFR,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR,2,0,0,Multifamily Residential
62842,OS-P,South Boston Neighborhood,4F,68,Open Space,South Boston Neighborhood OS-P,,0,0,Parkland Open Space
62843,MFR,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR,2,0,0,Multifamily Residential
62844,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62845,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62846,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62847,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62848,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62849,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62850,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62851,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62852,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62853,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62854,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62855,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62856,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62857,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62858,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62859,OS-P,South Boston Neighborhood,4F,68,Open Space,South Boston Neighborhood OS-P,2,0,0,Parkland Open Space
62860,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62861,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62862,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62863,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62864,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62865,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62866,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62867,OS-P,South Boston Neighborhood,4F,68,Open Space,South Boston Neighborhood OS-P,,0,0,Parkland Open Space
62868,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62869,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62870,OS-P,South Boston Neighborhood,4F,68,Open Space,South Boston Neighborhood OS-P,,0,0,Parkland Open Space
62871,OS-P,South Boston Neighborhood,4F,68,Open Space,South Boston Neighborhood OS-P,,0,0,Parkland Open Space
62872,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62873,OS-P,South Boston Neighborhood,4F,68,Open Space,South Boston Neighborhood OS-P,,0,0,Parkland Open Space
62874,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62875,H-1-50,South Boston,4,underlying zoning,Residential,South Boston H-1-50,1,0,0,Apartment Residential
62876,R-.8,South Boston,4,underlying zoning,Residential,South Boston R-.8,0.8,0,0,Residential
62877,MFR/LS,South Boston Neighborhood,4F,68,Residential,South Boston Neighborhood MFR/LS,2,0,0,Multifamily Residential/Local Services
62878,OS-CM,Greater Mattapan Neighborhood,8ABC,60,Open Space,Greater Mattapan Neighborhood OS-CM,,0,0,Cemetery Open Space
62879,OS-RC,Greater Mattapan Neighborhood,8ABC,60,Open Space,Greater Mattapan Neighborhood OS-RC,,0,0,Recreation Open Space
62880,OS-RC,Greater Mattapan Neighborhood,8ABC,60,Open Space,Greater Mattapan Neighborhood OS-RC,,0,0,Recreation Open Space
62881,OS-CM,Greater Mattapan Neighborhood,8ABC,60,Open Space,Greater Mattapan Neighborhood OS-CM,,0,0,Cemetery Open Space
62882,MFR,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood MFR,0.9,0,0,Multifamily Residential
62883,LC,Greater Mattapan Neighborhood,8ABC,60,Business,Greater Mattapan Neighborhood LC,0.8,0,0,Local Convenience
62884,1F-6000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 1F-6000,0.6,0,0,One-Family Residential
62885,2F-6000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 2F-6000,0.8,0,0,Two-Family Residential
62886,OS-RC,Greater Mattapan Neighborhood,8ABC,60,Open Space,Greater Mattapan Neighborhood OS-RC,,0,0,Recreation Open Space
62887,3F-5000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 3F-5000,0.8,0,0,Three-Family Residential
62888,1F-6000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 1F-6000,0.6,0,0,One-Family Residential
62889,2F-5000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 2F-5000,0.8,0,0,Two-Family Residential
62890,NS-1,Greater Mattapan Neighborhood,8ABC,60,Business,Greater Mattapan Neighborhood NS-1,1,0,0,Neighborhood Shopping
62891,2F-5000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 2F-5000,0.8,0,0,Two-Family Residential
62892,EPS,Greater Mattapan Neighborhood,8ABC,60,Miscellaneous,Greater Mattapan Neighborhood EPS,0.5,0,0,Enterprise Protection
62893,LC,Greater Mattapan Neighborhood,8ABC,60,Business,Greater Mattapan Neighborhood LC,0.8,0,0,Local Convenience
62894,LC,Greater Mattapan Neighborhood,8ABC,60,Business,Greater Mattapan Neighborhood LC,0.8,0,0,Local Convenience
62895,1F-6000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 1F-6000,0.6,0,0,One-Family Residential
62896,LI,Greater Mattapan Neighborhood,8ABC,60,Industrial,Greater Mattapan Neighborhood LI,1,0,0,Local Industrial
62897,OS-RC,Greater Mattapan Neighborhood,8ABC,60,Open Space,Greater Mattapan Neighborhood OS-RC,,0,0,Recreation Open Space
62898,2F-6000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 2F-6000,0.8,0,0,Two-Family Residential
62899,CF,Greater Mattapan Neighborhood,8ABC,60,Comm/Instit,Greater Mattapan Neighborhood CF,3,0,0,Community Facilities
62900,CF,Greater Mattapan Neighborhood,8ABC,60,Comm/Instit,Greater Mattapan Neighborhood CF,3,0,0,Community Facilities
62901,2F-3000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 2F-3000,0.8,0,0,Two-Family Residential
62902,NI,Greater Mattapan Neighborhood,8ABC,60,Comm/Instit,Greater Mattapan Neighborhood NI,2,0,0,Neighborhood Institutional
62903,1F-5000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 1F-5000,0.6,0,0,One-Family Residential
62904,OS-G,Greater Mattapan Neighborhood,8ABC,60,Open Space,Greater Mattapan Neighborhood OS-G,,0,0,Community Garden Open Space
62905,OS-G,Greater Mattapan Neighborhood,8ABC,60,Open Space,Greater Mattapan Neighborhood OS-G,,0,0,Community Garden Open Space
62906,OS-UW,Greater Mattapan Neighborhood,8ABC,60,Open Space,Greater Mattapan Neighborhood OS-UW,,0,0,Urban Wild Open Space
62907,OS-G,Greater Mattapan Neighborhood,8ABC,60,Open Space,Greater Mattapan Neighborhood OS-G,,0,0,Community Garden Open Space
62908,OS-G,Greater Mattapan Neighborhood,8ABC,60,Open Space,Greater Mattapan Neighborhood OS-G,,0,0,Community Garden Open Space
62909,OS-RC,Greater Mattapan Neighborhood,8ABC,60,Open Space,Greater Mattapan Neighborhood OS-RC,,0,0,Recreation Open Space
62910,2F-5000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 2F-5000,0.8,0,0,Two-Family Residential
62911,2F-4000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 2F-4000,0.8,0,0,Two-Family Residential
62912,MFR,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood MFR,0.9,0,0,Multifamily Residential
62913,2F-5000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 2F-5000,0.8,0,0,Two-Family Residential
62914,OS-CM,Greater Mattapan Neighborhood,8ABC,60,Open Space,Greater Mattapan Neighborhood OS-CM,,0,0,Cemetery Open Space
62915,3F-5000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 3F-5000,0.8,0,0,Three-Family Residential
62916,CC,Greater Mattapan Neighborhood,8ABC,60,Business,Greater Mattapan Neighborhood CC,4,0,0,Community Commercial
62917,MFR,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood MFR,0.9,0,0,Multifamily Residential
62918,OS-CM,Greater Mattapan Neighborhood,8ABC,60,Open Space,Greater Mattapan Neighborhood OS-CM,,0,0,Cemetery Open Space
62919,3F-5000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 3F-5000,0.8,0,0,Three-Family Residential
62920,3F-6000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 3F-6000,0.8,0,0,Three-Family Residential
62921,3F-5000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 3F-5000,0.8,0,0,Three-Family Residential
62922,OS-P,Greater Mattapan Neighborhood,8ABC,60,Open Space,Greater Mattapan Neighborhood OS-P,,0,0,Parkland Open Space
62923,OS-P,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-P,,0,0,Parkland Open Space
62924,3F-D-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-3000,1.3,0,0,Three-Family Residential
62925,OS-A,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-A,,0,0,Air-Right Open Space
62926,LI,Dorchester Neighborhood,5A-5E,65,Industrial,Dorchester Neighborhood LI,2,0,0,Local Industrial
62927,2F-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-3000,0.5,0,0,Two-Family Residential
62928,OS-P,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-P,,0,0,Parkland Open Space
62929,3F-D-2000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-2000,1.3,0,0,Three-Family Residential
62930,MFR/LS,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
62931,OS-P,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-P,,0,0,Parkland Open Space
62932,OS-RC,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-RC,,0,0,Recreation Open Space
62933,MFR/LS,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
62934,LC,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood LC,1,0,0,Local Convenience
62935,3F-D_2000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D_2000,1.3,0,0,Three-Family Residential
62936,SAVIN HILL LC,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood Savin Hill LC,1,0,0,Local Convenience
62937,3F-D-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-3000,1.3,0,0,Three-Family Residential
62938,2F-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-3000,0.5,0,0,Two-Family Residential
62939,MFR/LS,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
62940,Adams Street NS,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood Adams Street NS,1,0,0,Neighborhood Shopping
62941,3F-D-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-3000,1.3,0,0,Three-Family Residential
62942,OS-A,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-A,,0,0,Air-Right Open Space
62943,3F-D-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-3000,1.3,0,0,Three-Family Residential
62944,Fields Corner CC,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood Fields Corner CC,2,0,0,Community Commercial
62945,OS-P,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-P,,0,0,Parkland Open Space
62946,3F-D-4000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-4000,1.3,0,0,Three-Family Residential
62947,OS-RC,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-RC,,0,0,Recreation Open Space
62948,3F-D-4000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-4000,1.3,0,0,Three-Family Residential
62949,3F-D-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-3000,1.3,0,0,Three-Family Residential
62950,2F-4000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-4000,0.5,0,0,Two-Family Residential
62951,3F-D-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-3000,1.3,0,0,Three-Family Residential
62952,2F-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-3000,0.5,0,0,Two-Family Residential
62953,2F-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-3000,0.5,0,0,Two-Family Residential
62954,OS-A,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-A,,0,0,Air-Right Open Space
62955,3F-D-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-3000,1.3,0,0,Three-Family Residential
62956,2F-4000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-4000,0.5,0,0,Two-Family Residential
62957,3F-D-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-3000,1.3,0,0,Three-Family Residential
62958,3F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-5000,0.5,0,0,Three-Family Residential
62959,2F-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-3000,0.5,0,0,Two-Family Residential
62960,OS-CM,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-CM,,0,0,Cemetery Open Space
62961,MFR,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood MFR,1,0,0,Multifamily Residential
62962,1F-3000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 1F-3000,0.5,0,0,One-Family Residential
62963,2F-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 2F-5000,0.5,0,0,Two-Family Residential
62964,3F-D-5000,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood 3F-D-5000,1.3,0,0,Three-Family Residential
62965,MFR,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood MFR,1,0,0,Multifamily Residential
62966,Lower Mills NS,Dorchester Neighborhood,5A-5E,65,Business,Dorchester Neighborhood Lower Mills NS,1,0,0,Neighborhood Shopping
62967,OS-P,Dorchester Neighborhood,5A-5E,65,Open Space,Dorchester Neighborhood OS-P,,0,0,Parkland Open Space
62968,CF,West Roxbury Neighborhood,11A-11E,56,Comm/Instit,West Roxbury Neighborhood CF,0.5,0,0,Community Facilities
62969,CC,West Roxbury Neighborhood,11A-11E,56,Business,West Roxbury Neighborhood CC,2,0,0,Community Commercial
62970,CF,West Roxbury Neighborhood,11A-11E,56,Comm/Instit,West Roxbury Neighborhood CF,0.5,0,0,Community Facilities
62971,CPS,West Roxbury Neighborhood,11A-11E,56,Miscellaneous,West Roxbury Neighborhood CPS,0.3,0,0,Conservation Protection
62972,OS-P,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
62973,ALBANY STREET MEDICAL AREA CF,Roxbury Neighborhood,6A-6C,50,Comm/Instit,Roxbury Neighborhood ALBANY STREET MEDICAL AREA CF,2,0,0,Community Facilities
62974,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62975,MFR/LS,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
62976,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62977,MFR,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62978,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62979,MFR,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62980,TOWNSEND STREET CF,Roxbury Neighborhood,6A-6C,50,Comm/Instit,Roxbury Neighborhood TOWNSEND STREET CF,2,0,0,Community Facilities
62981,EGLESTON SQUARE NS,Roxbury Neighborhood,6A-6C,50,Business,Roxbury Neighborhood EGLESTON SQUARE NS,1,0,0,Neighborhood Shopping
62982,WALNUT AVENUE CF,Roxbury Neighborhood,6A-6C,50,Comm/Instit,Roxbury Neighborhood WALNUT AVENUE CF,1,0,0,Community Facilities
62983,OS,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS,,0,0,Open Space
62984,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62985,OS-G,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-G,,0,0,Community Garden Open Space
62986,3F-4000,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 3F-4000,0.8,0,0,Three-Family Residential
62987,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62988,OS,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS,,0,0,Open Space
62989,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62990,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62991,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62992,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62993,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62994,DIMOCK STREET CF,Roxbury Neighborhood,6A-6C,50,Comm/Instit,Roxbury Neighborhood DIMOCK STREET CF,2,0,0,Community Facilities
62995,3F-4000,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood 3F-4000,0.8,0,0,Three-Family Residential
62996,OS-P,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
62997,COMMUNITY COLLEGE CF,Roxbury Neighborhood,6A-6C,50,Comm/Instit,Roxbury Neighborhood COMMUNITY COLLEGE CF,2,0,0,Community Facilities
62998,MFR,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62999,MFR,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
63000,MFR/LS,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
63001,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
63002,NS-1,Hyde Park Neighborhood,12,69,Business,Hyde Park Neighborhood NS-1,1,0,0,Neighborhood Shopping
63003,2F-5000,Hyde Park Neighborhood,12,69,Residential,Hyde Park Neighborhood 2F-5000,0.5,0,0,Two-Family Residential
63004,NS-2,Hyde Park Neighborhood,12,69,Business,Hyde Park Neighborhood NS-2,2,0,0,Neighborhood Shopping
63005,OS-P,Jamaica Plain Neighborhood,9A-9C,55,Open Space,Jamaica Plain Neighborhood OS-P,,0,0,Parkland Open Space
63006,OS-RC,Jamaica Plain Neighborhood,9A-9C,55,Open Space,Jamaica Plain Neighborhood OS-RC,,0,0,Recreation Open Space
63007,GOVERNMENT CENTER/CAA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets GOVERNMENT CENTER/CAA,,0,0,Central Artery Area
63008,SOUTH STATION/CAA,South Station Economic Development Area,1C/1G/1N,40,Mixed Use,South Station Economic Development Area SOUTH STATION/CAA,,0,0,Central Artery Area
63009,BULFINCH TRIANGLE/CAA,Bulfinch Triangle,1B/1J/1K/1L,46,Mixed Use,Bulfinch Triangle BULFINCH TRIANGLE/CAA,8,0,0,Central Artery Area
63010,NE/CAA,North End Neighborhood,1B/1J/1K/1L,54,Mixed Use,North End NE/CAA ,,0,0,Central Artery Area
63011,GOVERNMENT CENTER/CAA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets GOVERNMENT CENTER/CAA,7,0,0,Central Artery Area
63012,GOVERNMENT CENTER/CAA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets GOVERNMENT CENTER/CAA,4,0,0,Central Artery Area
63013,LI,Jamaica Plain Neighborhood,9A-9C,55,Industrial,Jamaica Plain Neighborhood LI,1,0,0,Local Industrial
63014,B-1,Boston Harbor,2A,2A,Business,Boston Harbor B-1,,0,0,General Business
63015,I-2,Boston Harbor,2A,2A,Industrial,Boston Harbor I-2,,0,0,General Industrial
63016,B-1,Boston Harbor,2A,2A,Business,Boston Harbor B-1,,0,0,General Business
63017,NI-VA-1,Jamaica Plain Neighborhood,9B,55,Comm/Instit,Jamaica Plain Neighborhood NI-VA-1,1,0,0,Neighborhood Institutional
63018,NI-VA-2,Jamaica Plain Neighborhood,9B,55,Comm/Instit,Jamaica Plain Neighborhood NI-VA-3,1,0,0,Neighborhood Institutional
63019,4,Stuart Street District,1S,48,Mixed Use, Stuart Street District 4,17.5,0,0,Mixed Use Area 4
63020,1,Stuart Street District,1S,48,Mixed Use, Stuart Street District 1,10,0,0,Mixed Use Area 1
63021,2,Stuart Street District,1S,48,Mixed Use, Stuart Street District 2,17.5,0,0,Mixed Use Area 2
63022,3,Stuart Street District,1S,48,Mixed Use, Stuart Street District 3,17.5,0,0,Mixed Use Area 3
63023,1,Stuart Street District,1S,48,Mixed Use, Stuart Street District 1,10,0,0,Mixed Use Area 1
63024,RH-1500,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood RH-1500,2,0,0,Row House Residential
63025,RH-1500,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood RH-1500,2,0,0,Row House Residential
63026,RH-1500,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood RH-1500,2,0,0,Row House Residential
63027,NS,Charlestown Neighborhood,2E,62,Business,Charlestown Neighborhood NS,2,0,0,Neighborhood Shopping
63028,NS,Charlestown Neighborhood,2E,62,Business,Charlestown Neighborhood NS,2,0,0,Neighborhood Shopping
63029,OS-RC,Charlestown Neighborhood,2E,62,Open Space,Charlestown Neighborhood OS-RC,,0,0,Recreation Open Space
63030,LC,Charlestown Neighborhood,2E,62,Business,Charlestown Neighborhood LC,2,0,0,Local Convenience
63031,OS-UP,Charlestown Neighborhood,2E,62,Open Space,Charlestown Neighborhood OS-UP,,0,0,Urban Plaza Open Space
63032,MFR,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood MFR,1,0,0,Multifamily Residential
63033,OS-RC,Charlestown Neighborhood,2E,62,Open Space,Charlestown Neighborhood OS-RC,,0,0,Recreation Open Space
63034,RH-1500,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood RH-1500,2,0,0,Row House Residential
63035,LC,Charlestown Neighborhood,2E,62,Business,Charlestown Neighborhood LC,2,0,0,Local Convenience
63036,OS-UP,Charlestown Neighborhood,2E,62,Open Space,Charlestown Neighborhood OS-UP,,0,0,Urban Plaza Open Space
63037,3F-2000,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood 3F-2000,2,0,0,Three-Family Residential
