OBJECTID,ZONE_,DISTRICT,MAPNO,ARTICLE,SUBDISTRIC,Unique_Code,FAR,Shape_STArea__,Shape_STLength__,Zone_Desc
62739,CPS,West Roxbury Neighborhood,11A-11E,56,Miscellaneous,West Roxbury Neighborhood CPS,0.3,0,0,Conservation Protection
62740,OS-P,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
62741,1F-6000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-6000,0.4,0,0,One-Family Residential
62742,OS-P,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
62743,CPS,West Roxbury Neighborhood,11A-11E,56,Miscellaneous,West Roxbury Neighborhood CPS,0.3,0,0,Conservation Protection
62744,CF,West Roxbury Neighborhood,11A-11E,56,Comm/Instit,West Roxbury Neighborhood CF,1,0,0,Community Facilities
62745,OS-P,West Roxbury Neighborhood,11A-11E,56,Open Space,West Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
62746,CPS,West Roxbury Neighborhood,11A-11E,56,Miscellaneous,West Roxbury Neighborhood CPS,0.3,0,0,Conservation Protection
62747,1F-8000,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood 1F-8000,0.3,0,0,One-Family Residential
62748,MFR,West Roxbury Neighborhood,11A-11E,56,Residential,West Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62749,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62750,OS-P,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-P,,0,0,Parkland Open Space
62751,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62752,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62753,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
